Day,Datetime,GridID,Day_int,SMSin,SMSout,Callin,Callout,Internet
Friday,11/1/2013 0:00,300,5,0.378275668,0.08151355,0.16138985,0.081530492,12.50050692
Friday,11/1/2013 0:10,300,5,0.040875371,0.040909256,0,0.16138985,13.17671158
Friday,11/1/2013 0:20,300,5,0.163028069,0.040773717,0.040756775,0.16138985,11.48170317
Friday,11/1/2013 0:30,300,5,0.36350259,0.040773717,0.0798763,0.161423734,11.77372497
Friday,11/1/2013 0:40,300,5,0.132113742,0,0.161372907,0.093011159,13.03042971
Friday,11/1/2013 0:50,300,5,0.091373909,0.120633075,0.16138985,0.122287267,11.37559104
Friday,11/1/2013 1:00,300,5,0.122270325,0.079859358,0.040773717,0.081497577,9.856810362
Friday,11/1/2013 1:10,300,5,0.040756775,0.079859358,0.161372907,0.123891602,10.4928553
Friday,11/1/2013 1:20,300,5,0.174507767,0.040773717,0.132113742,0,7.755551557
Friday,11/1/2013 1:30,300,5,0.161372907,1.69E-05,0.120650017,0.0798763,7.874713831
Friday,11/1/2013 1:40,300,5,0.081547435,0.161372907,0.241232265,0.08151355,7.962542162
Friday,11/1/2013 1:50,300,5,0,0,0.040773717,0.04079066,7.262023977
Friday,11/1/2013 2:00,300,5,0.122270325,0.122270325,0,0.040756775,7.391995165
Friday,11/1/2013 2:10,300,5,0.04079066,0.079859358,0.040756775,0.08151355,8.645482182
Friday,11/1/2013 2:20,300,5,0.318102175,0.161372907,0.063718109,0.08151355,9.349362554
Friday,11/1/2013 2:30,300,5,0,3.39E-05,0.08151355,0.081530492,9.147348494
Friday,11/1/2013 2:40,300,5,0.081530492,0.161372907,0.08151355,0.040756775,7.881079439
Friday,11/1/2013 2:50,300,5,0.08151355,0.040756775,0,0,10.47721706
Friday,11/1/2013 3:00,300,5,0.161372907,0.159718715,0,0.122270325,8.01601618
Friday,11/1/2013 3:10,300,5,0.239578073,0.079859358,0,0,9.975500255
Friday,11/1/2013 3:20,300,5,0.08151355,0.081547435,0,0,10.03728209
Friday,11/1/2013 3:30,300,5,0.202163567,0.079893242,0.040756775,0.161372907,9.269635761
Friday,11/1/2013 3:40,300,5,0.122270325,0.079859358,0.040756775,0.040756775,9.870828013
Friday,11/1/2013 3:50,300,5,0.052237442,0.04079066,0,0.011497609,10.36001097
Friday,11/1/2013 4:00,300,5,0.040756775,0,0.122287267,0,13.06874492
Friday,11/1/2013 4:10,300,5,0.013101944,0,0.08151355,0,11.19429709
Friday,11/1/2013 4:20,300,5,0.360194205,0,0.161372907,0.1630271,9.840047219
Friday,11/1/2013 4:30,300,5,0,0,0.040756775,0,8.586594087
Friday,11/1/2013 4:40,300,5,0.120616132,0.28198904,0.040756775,0,11.83648033
Friday,11/1/2013 4:50,300,5,0.321091623,0,0.161372907,0,12.15760584
Friday,11/1/2013 5:00,300,5,0.120616132,0.040756775,0.242886457,0,10.31923427
Friday,11/1/2013 5:10,300,5,0.122270325,0.040756775,0.08151355,0.040756775,9.959009159
Friday,11/1/2013 5:20,300,5,0.040773717,0.040773717,0.161372907,0,10.55873061
Friday,11/1/2013 5:30,300,5,0,0,0.040756775,0.040756775,10.90087821
Friday,11/1/2013 5:40,300,5,0,0,0.081530492,0.08151355,11.15036746
Friday,11/1/2013 5:50,300,5,0.079859358,0.040756775,0.122270325,3.39E-05,11.11771223
Friday,11/1/2013 6:00,300,5,0.122270325,0.08151355,0.052237442,0.241232265,12.67763438
Friday,11/1/2013 6:10,300,5,0,0.040756775,0.040756775,0.202129682,18.93734638
Friday,11/1/2013 6:20,300,5,0.079859358,0,0,0.08151355,20.61623345
Friday,11/1/2013 6:30,300,5,0,0,0.081530492,0,18.92833819
Friday,11/1/2013 6:40,300,5,0.1597526,0.079859358,0.12230421,0.040773717,13.91278974
Friday,11/1/2013 6:50,300,5,0.161372907,0.365156782,0.120616132,0.081530492,15.39932277
Friday,11/1/2013 7:00,300,5,0.081530492,0,0.16138985,0.285281451,14.38242438
Friday,11/1/2013 7:10,300,5,0.081598262,1.69E-05,0.122287267,0.040756775,18.66871142
Friday,11/1/2013 7:20,300,5,0.04079066,0.161372907,0.08151355,5.08E-05,18.51064593
Friday,11/1/2013 7:30,300,5,0.040773717,0,0.241249207,0.1630271,21.07156144
Friday,11/1/2013 7:40,300,5,0.120650017,0.08151355,0.200492432,0.120633075,18.2760852
Friday,11/1/2013 7:50,300,5,0.159786485,0.040756775,0.04079066,0.242920342,20.23206159
Friday,11/1/2013 8:00,300,5,0.595432571,0.200526317,0.280419559,0.123892571,25.54346522
Friday,11/1/2013 8:10,300,5,0.296814884,0.161356934,0.120650017,0.063718109,17.06666141
Friday,11/1/2013 8:20,300,5,0.557715102,0.366827917,0.132147626,0.25605617,28.72998915
Friday,11/1/2013 8:30,300,5,0.898373985,0.815053694,0.241300034,0.441724697,28.32238454
Friday,11/1/2013 8:40,300,5,0.508751191,0.381487177,0.0798763,0.363503559,23.22953689
Friday,11/1/2013 8:50,300,5,0.408124856,0.451551105,0.093045044,0.161423734,24.98350116
Friday,11/1/2013 9:00,300,5,0.437148827,0.322830527,0.523272132,0.324501661,40.82328984
Friday,11/1/2013 9:10,300,5,1.372533602,0.242920342,0.363553417,0.443429717,57.48099505
Friday,11/1/2013 9:20,300,5,0.968559356,0.120616132,1.247019754,0.375034084,53.06626944
Friday,11/1/2013 9:30,300,5,0.971734133,0.1597526,0.816775723,0.627797843,46.00621596
Friday,11/1/2013 9:40,300,5,0.7957396,0.243038939,0.655453643,0.958665113,36.65125527
Friday,11/1/2013 9:50,300,5,0.783193793,0.684611155,0.979819766,0.547922512,38.38431701
Friday,11/1/2013 10:00,300,5,1.345247632,0.940635311,0.445151679,0.886808606,38.99748028
Friday,11/1/2013 10:10,300,5,0.654254896,0.365241494,0.619524875,0.603367653,32.65069115
Friday,11/1/2013 10:20,300,5,0.745391612,0.407754115,0.921233665,0.578869755,36.21989325
Friday,11/1/2013 10:30,300,5,0.771628415,0.443429717,0.89670285,0.794150269,45.4768065
Friday,11/1/2013 10:40,300,5,0.993209669,0.606422932,0.803657807,0.979768938,44.43414266
Friday,11/1/2013 10:50,300,5,1.45105874,0.686434771,0.647315246,1.251949415,41.58753734
Friday,11/1/2013 11:00,300,5,0.360631739,0.647264419,1.04495881,0.898373985,28.12648216
Friday,11/1/2013 11:10,300,5,0.777943189,0.52325519,0.567456857,0.864167179,48.34608935
Friday,11/1/2013 11:20,300,5,0.852857814,0.480928934,1.059679123,0.872474031,52.29609705
Friday,11/1/2013 11:30,300,5,0.526801676,0.280453444,0.968390895,0.647265388,33.81067865
Friday,11/1/2013 11:40,300,5,1.158261769,0.286869813,0.497338293,0.680136938,44.29581779
Friday,11/1/2013 11:50,300,5,0.743754362,0.360278917,0.407636488,0.919630299,51.3382671
Friday,11/1/2013 12:00,300,5,1.211681977,0.19753687,0.660366362,0.886893318,38.24248045
Friday,11/1/2013 12:10,300,5,0.628067891,0.363536475,0.455012038,0.619592645,48.50481441
Friday,11/1/2013 12:20,300,5,0.708010991,0.163094869,0.569026338,0.666968195,53.16294975
Friday,11/1/2013 12:30,300,5,0.572707461,0.161423734,0.733624924,0.678448861,49.86451714
Friday,11/1/2013 12:40,300,5,0.675442472,0.161372907,0.243072823,0.61635106,42.15333378
Friday,11/1/2013 12:50,300,5,0.528422044,0.319454373,0.736916366,0.805362826,55.59570545
Friday,11/1/2013 13:00,300,5,0.57399092,0.415740032,0.404428788,0.727140718,29.40488143
Friday,11/1/2013 13:10,300,5,0.488983522,0.402622115,0.456598461,0.414120693,18.1200088
Friday,11/1/2013 13:20,300,5,0.503856383,0.202248279,0.484169549,0.363638129,14.98173645
Friday,11/1/2013 13:30,300,5,0.430715449,0.23662251,0.244574534,0.485874569,15.41600618
Friday,11/1/2013 13:40,300,5,0.098129125,5.08E-05,0.482515357,0.415824743,22.26648524
Friday,11/1/2013 13:50,300,5,0.16010736,0.202214394,0.361899225,0.454978153,16.37986809
Friday,11/1/2013 14:00,300,5,0.469700404,0.081615204,0.524960209,0.334311193,13.67434383
Friday,11/1/2013 14:10,300,5,0.417395193,0.161576216,0.241333919,0.322847469,13.16280153
Friday,11/1/2013 14:20,300,5,0.261020686,0.640664592,0.365224552,0.524977151,13.86669787
Friday,11/1/2013 14:30,300,5,0.758847414,0.12066696,0.296862803,0.104559595,18.28659939
